2018-05-29 14:32:51-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:644:[IM] hn2201 登陆成功
2018-05-29 14:32:51-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:748:[IM] hn2201 请求游戏列表
2018-05-29 14:32:51-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:760:[IM] hn2201 成功获取游戏类型ASS_GP_LIST_KIND
2018-05-29 14:32:51-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2201 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:51-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2201 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:51-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2201 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:51-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2201 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:51-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:789:[IM] hn2201 成功获取房间信息ASS_GP_LIST_ROOM
2018-05-29 14:32:51-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1060:[IM] hn2201 建立GameRoomEx
2018-05-29 14:32:52-[8056]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn2201 登陆GServer
2018-05-29 14:32:52-[8056]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn2201 登陆失败
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:474:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1012:[IM] hn2202 登陆Mserver
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:644:[IM] hn2202 登陆成功
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:748:[IM] hn2202 请求游戏列表
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:760:[IM] hn2202 成功获取游戏类型ASS_GP_LIST_KIND
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2202 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2202 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2202 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2202 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:789:[IM] hn2202 成功获取房间信息ASS_GP_LIST_ROOM
2018-05-29 14:32:53-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1060:[IM] hn2202 建立GameRoomEx
2018-05-29 14:32:54-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnCancel:252:[IM] 关闭机器人(V2.0)
2018-05-29 14:32:54-[8056]PlatLog.cpp:CPlatLog::UnInit:45:[IM] log thread exit
2018-05-29 14:32:55-[9100]Auto_AIDlg.cpp:CAuto_AIDlg::NextTask:1224:[IM] Start Task 0845
2018-05-29 14:32:55-[9100]Auto_AIDlg.cpp:CAuto_AIDlg::OnInitDialog:161:[IM] 启动机器人(V2.0)
2018-05-29 14:33:04-[9100]Auto_AIDlg.cpp:CAuto_AIDlg::OnStartRobot:274:[IM] StartRobot
