2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1308 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1308 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1308 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1308 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1308 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1308 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:47:58-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1308 建立GameRoomEx
2018-02-28 18:47:59-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1308 登陆GServer
2018-02-28 18:47:59-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1308 登陆失败
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1309 登陆Mserver
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1309 登陆成功
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1309 请求游戏列表
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1309 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1309 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1309 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1309 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1309 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1309 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:48:00-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1309 建立GameRoomEx
2018-02-28 18:48:01-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1309 登陆GServer
2018-02-28 18:48:01-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1309 登陆失败
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1300 登陆Mserver
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1300 登陆成功
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1300 请求游戏列表
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1300 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1300 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1300 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1300 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1300 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1300 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:48:02-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1300 建立GameRoomEx
2018-02-28 18:48:03-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1300 登陆GServer
2018-02-28 18:48:03-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1300 登陆失败
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1301 登陆Mserver
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1301 登陆成功
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1301 请求游戏列表
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1301 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1301 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1301 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1301 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1301 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1301 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:48:04-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1301 建立GameRoomEx
2018-02-28 18:48:05-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1301 登陆GServer
2018-02-28 18:48:05-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1301 登陆失败
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1302 登陆Mserver
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1302 登陆成功
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1302 请求游戏列表
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1302 成功获取游戏类型ASS_GP_LIST_KIND
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1302 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1302 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1302 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1302 成功获取游戏名字ASS_GP_LIST_NAME
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1302 成功获取房间信息ASS_GP_LIST_ROOM
2018-02-28 18:48:06-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1302 建立GameRoomEx
2018-02-28 18:48:07-[18928]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1302 登陆GServer
2018-02-28 18:48:07-[18928]GameRoomEx.cpp:CGameRoomEx::OnLogonMessage:323:[EG] hn1302 登陆失败
2018-02-28 18:48:08-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-02-28 18:48:08-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1303 登陆Mserver
2018-02-28 18:48:08-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1303 登陆成功
2018-02-28 18:48:08-[18928]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1303 请求游戏列表
