18,26,23,Send,UserID:1,bAssID=123,	//通知开始出牌	   
18,26,26,Reply,UserId=1,bAssID=125,	//玩家出牌			 
18,26,26,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,26,26,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,26,27,Send,UserID:0,bAssID=127,	//抓牌			   
18,26,27,Send,UserID:1,bAssID=127,	//抓牌			   
18,27,54,Reply,UserId=0,bAssID=125,	//玩家出牌			 
18,27,54,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,27,54,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,27,54,Send,UserID:0,bAssID=127,	//抓牌			   
18,27,54,Send,UserID:1,bAssID=127,	//抓牌			   
18,27,58,Reply,UserId=1,bAssID=125,	//玩家出牌			 
18,27,58,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,27,58,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,27,58,Send,UserID:0,bAssID=127,	//抓牌			   
18,27,58,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,01,Reply,UserId=0,bAssID=125,	//玩家出牌			 
18,28,01,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,01,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,01,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,01,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,05,Reply,UserId=1,bAssID=125,	//玩家出牌			 
18,28,05,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,05,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,05,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,05,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,07,Reply,UserId=0,bAssID=125,	//玩家出牌			 
18,28,07,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,07,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,07,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,07,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,10,Reply,UserId=1,bAssID=125,	//玩家出牌			 
18,28,10,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,10,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,10,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,10,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,12,Reply,UserId=0,bAssID=125,	//玩家出牌			 
18,28,12,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,12,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,12,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,12,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,12,Send,UserID:1,bAssID=128,	//碰杠明胡动作消息	 
18,28,14,Reply,UserId=1,bAssID=150,	//玩家拦牌动作	   
18,28,14,Send,UserID:0,bAssID=130,	//明牌结果消息	   
18,28,14,Send,UserID:1,bAssID=130,	//明牌结果消息	   
18,28,15,Reply,UserId=1,bAssID=167,	//选择刻子请求//选择刻子回复			   
18,28,15,Send,UserID:1,bAssID=167,	//选择刻子请求//选择刻子回复			   
18,28,16,Reply,UserId=1,bAssID=169,	//客户端通知服务器选择的刻子				  
18,28,16,Send,UserID:1,bAssID=190,
18,28,16,Send,UserID:0,bAssID=168,	//服务器通知能胡的牌//客户端回复			 
18,28,16,Send,UserID:1,bAssID=168,	//服务器通知能胡的牌//客户端回复			 
18,28,16,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,16,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,17,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,17,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,23,Reply,UserId=0,bAssID=125,	//玩家出牌			 
18,28,23,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,23,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,23,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,23,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,23,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,23,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,23,Send,UserID:0,bAssID=128,	//碰杠明胡动作消息	 
18,28,26,Reply,UserId=0,bAssID=150,	//玩家拦牌动作	   
18,28,26,Send,UserID:0,bAssID=129,	//动作结果消息	   
18,28,26,Send,UserID:1,bAssID=129,	//动作结果消息	   
18,28,26,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,26,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,30,Reply,UserId=0,bAssID=125,	//玩家出牌			 
18,28,30,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,30,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,31,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,31,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,31,Send,UserID:1,bAssID=128,	//碰杠明胡动作消息	 
18,28,32,Send,UserID:0,bAssID=129,	//动作结果消息	   
18,28,32,Send,UserID:1,bAssID=129,	//动作结果消息	   
18,28,32,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,32,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,32,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,32,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,33,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,33,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,37,Reply,UserId=0,bAssID=125,	//玩家出牌			 
18,28,37,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
18,28,37,Send,UserID:1,bAssID=126,	//玩家出牌结果 	   
18,28,37,Send,UserID:0,bAssID=127,	//抓牌			   
18,28,37,Send,UserID:1,bAssID=127,	//抓牌			   
18,28,37,Send,UserID:1,bAssID=128,	//碰杠明胡动作消息	 
18,28,37,Send,UserID:0,bAssID=131,	//胡牌结果消息	   
18,28,37,Send,UserID:1,bAssID=131,	//胡牌结果消息	   
18,28,38,CountFen,HuPai:26,MaiMa:2
18,28,38,Send,UserID:0,bAssID=132,	//游戏正常结束	   
18,28,38,CountFen,UserId=0,iFanShu:0,i64HuPoint:-2,i64Point:-4,i64Money:-4,DuiLiang:0,MaiMa:2,PiaoFen:0,Gang:0
18,28,38,Send,UserID:1,bAssID=132,	//游戏正常结束	   
18,28,38,CountFen,UserId=1,iFanShu:2,i64HuPoint:2,i64Point:4,i64Money:4,DuiLiang:0,MaiMa:2,PiaoFen:0,Gang:0
18,28,38,Send,UserID:0,bAssID=180,
18,28,39,CalculateBoard,UserId=0,i64Money:-4
18,28,39,Send,UserID:1,bAssID=180,
18,28,39,CalculateBoard,UserId=1,i64Money:4
