[WARN ][16/11/2017 15:23:34.609] :[000]In RemoveHandCard,i >= Result,is error,i:1,nResult:1
[WARN ][16/11/2017 15:23:35.671] :[756378]When Chi ,Remove hand cards failed,isvirtual:0
[WARN ][16/11/2017 15:23:35.921] :[000]In RemoveHandCard,i >= Result,is error,i:1,nResult:1
[WARN ][16/11/2017 15:23:35.921] :[756378]When Chi ,Remove hand cards failed,isvirtual:0
[WARN ][16/11/2017 15:23:35.921] :[000]In RemoveHandCard,i >= Result,is error,i:1,nResult:1
[WARN ][16/11/2017 15:23:35.921] :[756378]When Chi ,Remove hand cards failed,isvirtual:0
[DEBUG][28/11/2017 09:42:44.203] :[847501]before Check hu:1,1,1,0
[DEBUG][28/11/2017 09:42:44.203] :[847501]before Check hu:1,1,2,0
[DEBUG][28/11/2017 09:42:50.343] :[847501]before Check hu:0,1,0,2
[DEBUG][28/11/2017 09:42:50.343] :[847501]before Check hu:0,1,1,2
[DEBUG][28/11/2017 09:42:50.343] :[847501]before Check hu:0,1,2,2
[DEBUG][28/11/2017 09:42:52.343] :[847501]before Check hu:1,1,0,1
[DEBUG][28/11/2017 09:42:52.343] :[847501]before Check hu:1,1,1,1
[DEBUG][28/11/2017 09:42:52.343] :[847501]before Check hu:1,1,2,1
[DEBUG][28/11/2017 09:42:55.468] :[847501]before Check hu:1,1,0,0
[DEBUG][28/11/2017 09:42:55.468] :[847501]before Check hu:1,1,1,0
[DEBUG][28/11/2017 09:42:55.468] :[847501]before Check hu:1,1,2,0
[DEBUG][28/11/2017 09:42:57.468] :[847501]before Check hu:1,1,0,1
[DEBUG][28/11/2017 09:42:57.468] :[847501]before Check hu:1,1,1,1
[DEBUG][28/11/2017 09:42:57.468] :[847501]before Check hu:1,1,2,1
[DEBUG][28/11/2017 09:43:03.562] :[847501]before Check hu:0,1,0,0
[DEBUG][28/11/2017 09:43:03.562] :[847501]before Check hu:0,1,1,0
[DEBUG][28/11/2017 09:43:03.562] :[847501]before Check hu:0,1,2,0
[DEBUG][28/11/2017 09:43:20.906] :[847501]before Check hu:0,1,0,2
[DEBUG][28/11/2017 09:43:20.906] :[847501]before Check hu:0,1,1,2
[DEBUG][28/11/2017 09:43:20.906] :[847501]before Check hu:0,1,2,2
[DEBUG][28/11/2017 09:43:46.046] :[847501]before Check hu:0,1,0,1
[DEBUG][28/11/2017 09:43:46.046] :[847501]before Check hu:0,1,1,1
[DEBUG][28/11/2017 09:43:46.046] :[847501]before Check hu:0,1,2,1
[DEBUG][28/11/2017 09:43:48.046] :[847501]before Check hu:1,1,0,0
[DEBUG][28/11/2017 09:43:48.046] :[847501]before Check hu:1,1,1,0
[DEBUG][28/11/2017 09:43:48.046] :[847501]before Check hu:1,1,2,0
[DEBUG][28/11/2017 09:43:50.046] :[847501]before Check hu:1,1,0,2
[DEBUG][28/11/2017 09:43:50.046] :[847501]before Check hu:1,1,1,2
