2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:485:[IM] 连接MServer事件192.168.0.102:3015-0
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1028:[IM] hn1454 登陆Mserver
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:655:[IM] hn1454 登陆成功
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:760:[IM] hn1454 请求游戏列表
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:772:[IM] hn1454 成功获取游戏类型ASS_GP_LIST_KIND
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1454 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1454 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1454 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1454 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:801:[IM] hn1454 成功获取房间信息ASS_GP_LIST_ROOM
2019-03-12 13:49:09-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:813:[EM] hn1454 未获取到指定房间信息
2019-03-12 13:49:11-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:485:[IM] 连接MServer事件192.168.0.102:3015-0
2019-03-12 13:49:11-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1028:[IM] hn1455 登陆Mserver
2019-03-12 13:49:11-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:655:[IM] hn1455 登陆成功
2019-03-12 13:49:11-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:760:[IM] hn1455 请求游戏列表
2019-03-12 13:49:11-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:772:[IM] hn1455 成功获取游戏类型ASS_GP_LIST_KIND
2019-03-12 13:49:11-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1455 成功获取游戏名字ASS_GP_LIST_NAME
