2018-03-10 11:21:37-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1351 登陆成功
2018-03-10 11:21:37-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1351 请求游戏列表
2018-03-10 11:21:37-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1351 成功获取游戏类型ASS_GP_LIST_KIND
2018-03-10 11:21:37-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1351 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:37-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1351 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:37-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1351 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:37-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1351 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:37-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1351 成功获取房间信息ASS_GP_LIST_ROOM
2018-03-10 11:21:37-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1351 建立GameRoomEx
2018-03-10 11:21:38-[16760]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1351 登陆GServer
2018-03-10 11:21:38-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-03-10 11:21:38-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1352 登陆Mserver
2018-03-10 11:21:39-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1352 登陆成功
2018-03-10 11:21:39-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1352 请求游戏列表
2018-03-10 11:21:39-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1352 成功获取游戏类型ASS_GP_LIST_KIND
2018-03-10 11:21:39-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1352 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:39-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1352 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:39-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1352 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:39-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1352 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:39-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1352 成功获取房间信息ASS_GP_LIST_ROOM
2018-03-10 11:21:39-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1352 建立GameRoomEx
2018-03-10 11:21:40-[16760]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1352 登陆GServer
2018-03-10 11:21:40-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-03-10 11:21:40-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1353 登陆Mserver
2018-03-10 11:21:41-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1353 登陆成功
2018-03-10 11:21:41-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1353 请求游戏列表
2018-03-10 11:21:41-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1353 成功获取游戏类型ASS_GP_LIST_KIND
2018-03-10 11:21:41-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1353 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:41-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1353 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:41-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1353 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:41-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1353 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:41-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1353 成功获取房间信息ASS_GP_LIST_ROOM
2018-03-10 11:21:41-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1353 建立GameRoomEx
2018-03-10 11:21:42-[16760]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1353 登陆GServer
2018-03-10 11:21:42-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-03-10 11:21:42-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1355 登陆Mserver
2018-03-10 11:21:43-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1355 登陆成功
2018-03-10 11:21:43-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1355 请求游戏列表
2018-03-10 11:21:43-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1355 成功获取游戏类型ASS_GP_LIST_KIND
2018-03-10 11:21:43-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1355 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:43-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1355 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:43-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1355 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:43-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1355 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:43-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1355 成功获取房间信息ASS_GP_LIST_ROOM
2018-03-10 11:21:43-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1355 建立GameRoomEx
2018-03-10 11:21:44-[16760]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1355 登陆GServer
