01, 07, 35, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 07, 36, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 07, 37, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 07, 37, 房间00, 密码, 00040030, 00, 00, 游戏状态, 24, 服务器, 游戏开始				
01, 07, 39, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
01, 07, 40, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
01, 07, 41, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
01, 07, 41, 房间00, 密码, 00040030, 00, 00, 游戏状态, 22, 服务器, 发牌完成		   		
01, 07, 41, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 通知开牌摆牛	   		, iOutDeskStation=1
01, 07, 42, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 48, 
01, 07, 44, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 客户端,  1, 玩家摆牛		   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
01, 07, 44, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x24[1]=0x14[2]=0x2C}, byUpCard{[0]=0x05[1]=0x34}, iShape=1
01, 07, 48, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 客户端,  0, 玩家摆牛		   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
01, 07, 48, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x19[1]=0x08[2]=0x3D}, byUpCard{[0]=0x22[1]=0x13}, iShape=7
01, 07, 49, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 35, 游戏结束定时器
01, 07, 49, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 25, 服务器, 游戏结束				, iUserState{[0]=3[1]=3[2]=0[3]=0[4]=0[5]=0}, iChangeMoney{[0]=2[1]=-2[2]=0[3]=0[4]=0[5]=0
01, 07, 50, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 07, 51, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 07, 52, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 07, 53, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 07, 54, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 10, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 11, 房间00, 密码, 00040030, 00, 00, 游戏状态, 25, 用户进入, 0
10, 10, 11, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 12, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 13, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 14, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 15, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 16, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 17, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 18, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
10, 10, 19, 房间00, 密码, 00040030, 00, 00, 游戏状态, 25, 用户进入, 1
